Geneid	SRR14612091_myofibroblast_male
ENSSSCG00000019135	0
ENSSSCG00000019921	0
ENSSSCG00000004295	0
ENSSSCG00000004296	0
ENSSSCG00000020277	0
ENSSSCG00000004297	0
ENSSSCG00000004298	916
ENSSSCG00000004299	0
ENSSSCG00000004300	67
ENSSSCG00000004301	2
ENSSSCG00000004302	1
ENSSSCG00000004303	151
ENSSSCG00000004304	270
ENSSSCG00000004305	9
ENSSSCG00000004306	170
ENSSSCG00000004307	1181
ENSSSCG00000004308	1
ENSSSCG00000004309	21
ENSSSCG00000019769	0
ENSSSCG00000004310	36
ENSSSCG00000004311	100
ENSSSCG00000018235	0
ENSSSCG00000004312	135
ENSSSCG00000004313	63
ENSSSCG00000004314	142
ENSSSCG00000004315	0
ENSSSCG00000004316	0
ENSSSCG00000004317	440
ENSSSCG00000004318	4
ENSSSCG00000004319	0
ENSSSCG00000004320	409
ENSSSCG00000018811	0
ENSSSCG00000004321	0
ENSSSCG00000004322	0
ENSSSCG00000004323	79
ENSSSCG00000004324	79
ENSSSCG00000004325	36
ENSSSCG00000004326	435
ENSSSCG00000004327	216
ENSSSCG00000004328	566
ENSSSCG00000004329	80
ENSSSCG00000004330	3
ENSSSCG00000004331	289
ENSSSCG00000004332	70
ENSSSCG00000004333	23
ENSSSCG00000004334	780
ENSSSCG00000004335	54
ENSSSCG00000019674	0
ENSSSCG00000004336	8
ENSSSCG00000018695	0
ENSSSCG00000020518	0
ENSSSCG00000004337	262
ENSSSCG00000004338	0
ENSSSCG00000004339	596
ENSSSCG00000004340	0
ENSSSCG00000004341	12
ENSSSCG00000018143	0
ENSSSCG00000004342	41
ENSSSCG00000004343	0
ENSSSCG00000004344	18
ENSSSCG00000004345	47
ENSSSCG00000018476	0
ENSSSCG00000019582	0
ENSSSCG00000019812	0
ENSSSCG00000018969	0
ENSSSCG00000004346	0
ENSSSCG00000004347	300
ENSSSCG00000004348	50
ENSSSCG00000004349	145
ENSSSCG00000004350	130
ENSSSCG00000004351	91
ENSSSCG00000004352	82
ENSSSCG00000004353	227
ENSSSCG00000004354	0
ENSSSCG00000004355	90
ENSSSCG00000004356	0
ENSSSCG00000004357	0
