Geneid	SRR14612094_myofibroblast_male
ENSSSCG00000004537	1634
ENSSSCG00000004538	303
ENSSSCG00000004539	0
ENSSSCG00000004540	3
ENSSSCG00000004541	297
ENSSSCG00000004542	3705
ENSSSCG00000004543	137
ENSSSCG00000004544	527
ENSSSCG00000004545	0
ENSSSCG00000004546	99
ENSSSCG00000004547	508
ENSSSCG00000004548	2
ENSSSCG00000004549	21
ENSSSCG00000004550	615
ENSSSCG00000004551	902
ENSSSCG00000004552	180
ENSSSCG00000004553	92
ENSSSCG00000004554	68
ENSSSCG00000004555	9
ENSSSCG00000004556	914
ENSSSCG00000004557	1449
ENSSSCG00000004558	195
ENSSSCG00000004559	50
ENSSSCG00000004560	7
ENSSSCG00000004561	2014
ENSSSCG00000018577	0
ENSSSCG00000020403	0
ENSSSCG00000004562	1
ENSSSCG00000004563	148
ENSSSCG00000004564	50
ENSSSCG00000004565	3
ENSSSCG00000004566	308
ENSSSCG00000004567	20
ENSSSCG00000004568	864
ENSSSCG00000004569	141
ENSSSCG00000004570	30960
ENSSSCG00000004571	632
ENSSSCG00000018544	0
ENSSSCG00000019618	0
ENSSSCG00000019471	0
ENSSSCG00000004572	10
ENSSSCG00000004573	2
ENSSSCG00000004574	2231
ENSSSCG00000004575	5018
ENSSSCG00000004576	64
ENSSSCG00000004577	195
ENSSSCG00000004578	12537
ENSSSCG00000004579	0
ENSSSCG00000004580	0
ENSSSCG00000004581	0
ENSSSCG00000020189	0
ENSSSCG00000004582	230
ENSSSCG00000004583	199
ENSSSCG00000004584	0
ENSSSCG00000004585	168
ENSSSCG00000004586	120
ENSSSCG00000004587	2072
ENSSSCG00000018846	0
ENSSSCG00000004588	160
ENSSSCG00000004589	569
ENSSSCG00000004590	126
ENSSSCG00000004591	90
ENSSSCG00000004592	206
ENSSSCG00000004593	41
ENSSSCG00000004594	1
ENSSSCG00000004595	1596
ENSSSCG00000004596	16
ENSSSCG00000019377	0
ENSSSCG00000004597	0
ENSSSCG00000004598	52
ENSSSCG00000004599	199
ENSSSCG00000004600	1640
ENSSSCG00000018304	0
ENSSSCG00000004601	19
ENSSSCG00000019826	0
ENSSSCG00000004602	7
ENSSSCG00000018434	0
ENSSSCG00000020082	0
ENSSSCG00000004603	673
ENSSSCG00000004604	84
ENSSSCG00000004605	2
ENSSSCG00000004606	12
ENSSSCG00000004607	281
ENSSSCG00000004608	9
ENSSSCG00000004609	343
ENSSSCG00000004610	1880
ENSSSCG00000018806	0
ENSSSCG00000004611	236
ENSSSCG00000004612	108
ENSSSCG00000004613	541
ENSSSCG00000004614	0
ENSSSCG00000004615	0
ENSSSCG00000004616	0
ENSSSCG00000004617	1525
ENSSSCG00000004618	1647
ENSSSCG00000004619	1576
ENSSSCG00000004620	1983
ENSSSCG00000004621	0
ENSSSCG00000004622	348
ENSSSCG00000004623	0
ENSSSCG00000004624	2227
ENSSSCG00000004625	187
ENSSSCG00000004626	736
ENSSSCG00000004627	154
ENSSSCG00000004628	38
ENSSSCG00000004629	15
ENSSSCG00000004630	1
ENSSSCG00000004631	412
ENSSSCG00000004632	10
ENSSSCG00000004633	26
ENSSSCG00000004634	431
ENSSSCG00000004635	645
ENSSSCG00000004636	1600
ENSSSCG00000004637	9745
ENSSSCG00000020575	0
ENSSSCG00000004638	13
ENSSSCG00000004639	827
ENSSSCG00000004640	72
ENSSSCG00000004641	0
ENSSSCG00000004642	0
ENSSSCG00000004643	0
ENSSSCG00000004644	0
ENSSSCG00000004645	87
ENSSSCG00000004646	2
ENSSSCG00000004647	292
ENSSSCG00000004648	21
ENSSSCG00000004649	497
ENSSSCG00000004650	241
ENSSSCG00000004651	232
