Geneid	SRR14612090_fibroblast_male
ENSSSCG00000004549	8
ENSSSCG00000004550	652
ENSSSCG00000004551	968
ENSSSCG00000004552	204
ENSSSCG00000004553	96
ENSSSCG00000004554	60
ENSSSCG00000004555	6
ENSSSCG00000004556	895
ENSSSCG00000004557	2030
ENSSSCG00000004558	147
ENSSSCG00000004559	77
ENSSSCG00000004560	0
ENSSSCG00000004561	1561
ENSSSCG00000018577	0
ENSSSCG00000020403	0
ENSSSCG00000004562	0
ENSSSCG00000004563	178
ENSSSCG00000004564	30
ENSSSCG00000004565	72
ENSSSCG00000004566	383
ENSSSCG00000004567	16
ENSSSCG00000004568	840
ENSSSCG00000004569	129
ENSSSCG00000004570	6545
ENSSSCG00000004571	629
ENSSSCG00000018544	0
ENSSSCG00000019618	0
ENSSSCG00000019471	0
ENSSSCG00000004572	17
ENSSSCG00000004573	0
ENSSSCG00000004574	2180
ENSSSCG00000004575	5367
ENSSSCG00000004576	79
ENSSSCG00000004577	193
ENSSSCG00000004578	11564
ENSSSCG00000004579	0
ENSSSCG00000004580	0
ENSSSCG00000004581	0
ENSSSCG00000020189	0
ENSSSCG00000004582	225
ENSSSCG00000004583	150
ENSSSCG00000004584	3
ENSSSCG00000004585	191
ENSSSCG00000004586	74
ENSSSCG00000004587	926
ENSSSCG00000018846	1
ENSSSCG00000004588	111
ENSSSCG00000004589	548
ENSSSCG00000004590	207
ENSSSCG00000004591	92
ENSSSCG00000004592	279
ENSSSCG00000004593	28
ENSSSCG00000004594	1
ENSSSCG00000004595	2126
ENSSSCG00000004596	16
ENSSSCG00000019377	0
ENSSSCG00000004597	0
ENSSSCG00000004598	21
ENSSSCG00000004599	416
ENSSSCG00000004600	1465
ENSSSCG00000018304	0
ENSSSCG00000004601	20
ENSSSCG00000019826	0
ENSSSCG00000004602	12
ENSSSCG00000018434	0
ENSSSCG00000020082	0
ENSSSCG00000004603	660
ENSSSCG00000004604	113
ENSSSCG00000004605	1
ENSSSCG00000004606	7
ENSSSCG00000004607	233
ENSSSCG00000004608	3
ENSSSCG00000004609	182
ENSSSCG00000004610	2083
ENSSSCG00000018806	0
ENSSSCG00000004611	167
ENSSSCG00000004612	141
ENSSSCG00000004613	526
ENSSSCG00000004614	0
ENSSSCG00000004615	0
ENSSSCG00000004616	0
ENSSSCG00000004617	470
ENSSSCG00000004618	1159
ENSSSCG00000004619	1028
ENSSSCG00000004620	1220
ENSSSCG00000004621	0
ENSSSCG00000004622	200
ENSSSCG00000004623	0
ENSSSCG00000004624	1795
ENSSSCG00000004625	200
ENSSSCG00000004626	615
ENSSSCG00000004627	128
ENSSSCG00000004628	27
ENSSSCG00000004629	28
ENSSSCG00000004630	0
ENSSSCG00000004631	395
ENSSSCG00000004632	9
ENSSSCG00000004633	52
ENSSSCG00000004634	337
ENSSSCG00000004635	654
ENSSSCG00000004636	1471
ENSSSCG00000004637	10168
