Geneid	SRR14612099_myofibroblast_female
ENSSSCG00000019922	0
ENSSSCG00000004535	1244
ENSSSCG00000020381	0
ENSSSCG00000004536	0
ENSSSCG00000004537	1407
ENSSSCG00000004538	329
ENSSSCG00000004539	0
ENSSSCG00000004540	0
ENSSSCG00000004541	282
ENSSSCG00000004542	4279
ENSSSCG00000004543	139
ENSSSCG00000004544	575
ENSSSCG00000004545	0
ENSSSCG00000004546	131
ENSSSCG00000004547	622
ENSSSCG00000004548	11
ENSSSCG00000004549	27
ENSSSCG00000004550	570
ENSSSCG00000004551	908
ENSSSCG00000004552	223
ENSSSCG00000004553	75
ENSSSCG00000004554	126
ENSSSCG00000004555	28
ENSSSCG00000004556	1040
ENSSSCG00000004557	1373
ENSSSCG00000004558	180
ENSSSCG00000004559	59
ENSSSCG00000004560	0
ENSSSCG00000004561	1923
ENSSSCG00000018577	0
ENSSSCG00000020403	0
ENSSSCG00000004562	2
ENSSSCG00000004563	167
ENSSSCG00000004564	65
ENSSSCG00000004565	3
ENSSSCG00000004566	378
ENSSSCG00000004567	24
ENSSSCG00000004568	868
ENSSSCG00000004569	151
ENSSSCG00000004570	27454
ENSSSCG00000004571	716
ENSSSCG00000018544	0
ENSSSCG00000019618	0
ENSSSCG00000019471	0
ENSSSCG00000004572	9
ENSSSCG00000004573	1
ENSSSCG00000004574	2420
ENSSSCG00000004575	5569
ENSSSCG00000004576	63
ENSSSCG00000004577	181
ENSSSCG00000004578	13450
ENSSSCG00000004579	0
ENSSSCG00000004580	0
ENSSSCG00000004581	0
ENSSSCG00000020189	0
ENSSSCG00000004582	274
ENSSSCG00000004583	172
ENSSSCG00000004584	1
ENSSSCG00000004585	222
ENSSSCG00000004586	98
ENSSSCG00000004587	1718
ENSSSCG00000018846	0
ENSSSCG00000004588	310
ENSSSCG00000004589	579
ENSSSCG00000004590	111
ENSSSCG00000004591	104
ENSSSCG00000004592	241
ENSSSCG00000004593	13
ENSSSCG00000004594	3
ENSSSCG00000004595	1696
ENSSSCG00000004596	19
ENSSSCG00000019377	0
ENSSSCG00000004597	0
ENSSSCG00000004598	70
ENSSSCG00000004599	376
ENSSSCG00000004600	1799
ENSSSCG00000018304	0
ENSSSCG00000004601	23
ENSSSCG00000019826	0
ENSSSCG00000004602	18
ENSSSCG00000018434	0
ENSSSCG00000020082	0
ENSSSCG00000004603	747
ENSSSCG00000004604	79
ENSSSCG00000004605	0
ENSSSCG00000004606	1
ENSSSCG00000004607	318
ENSSSCG00000004608	7
ENSSSCG00000004609	288
ENSSSCG00000004610	1790
ENSSSCG00000018806	0
ENSSSCG00000004611	172
ENSSSCG00000004612	146
ENSSSCG00000004613	545
ENSSSCG00000004614	0
ENSSSCG00000004615	0
ENSSSCG00000004616	0
ENSSSCG00000004617	1425
ENSSSCG00000004618	1416
ENSSSCG00000004619	1513
ENSSSCG00000004620	1969
ENSSSCG00000004621	0
ENSSSCG00000004622	247
ENSSSCG00000004623	0
ENSSSCG00000004624	1950
ENSSSCG00000004625	221
ENSSSCG00000004626	772
ENSSSCG00000004627	174
ENSSSCG00000004628	36
ENSSSCG00000004629	12
ENSSSCG00000004630	0
ENSSSCG00000004631	333
ENSSSCG00000004632	1
ENSSSCG00000004633	89
ENSSSCG00000004634	354
ENSSSCG00000004635	643
ENSSSCG00000004636	1423
ENSSSCG00000004637	9408
ENSSSCG00000020575	0
ENSSSCG00000004638	8
ENSSSCG00000004639	932
ENSSSCG00000004640	93
ENSSSCG00000004641	0
ENSSSCG00000004642	0
ENSSSCG00000004643	0
ENSSSCG00000004644	0
ENSSSCG00000004645	88
ENSSSCG00000004646	7
ENSSSCG00000004647	345
ENSSSCG00000004648	25
ENSSSCG00000004649	301
ENSSSCG00000004650	136
ENSSSCG00000004651	239
ENSSSCG00000004652	470
ENSSSCG00000004653	1235
ENSSSCG00000004654	47
ENSSSCG00000004655	0
ENSSSCG00000004656	262
ENSSSCG00000004657	110
ENSSSCG00000004658	65170
ENSSSCG00000004659	6
ENSSSCG00000004660	0
ENSSSCG00000004661	276
ENSSSCG00000004662	109
ENSSSCG00000004663	60
ENSSSCG00000019772	0
ENSSSCG00000020376	0
ENSSSCG00000004664	0
ENSSSCG00000004665	1660
ENSSSCG00000004666	406
ENSSSCG00000004667	99
ENSSSCG00000004668	94
ENSSSCG00000004669	157
ENSSSCG00000004670	0
ENSSSCG00000018328	0
ENSSSCG00000004671	113
ENSSSCG00000004672	94
ENSSSCG00000004673	0
ENSSSCG00000004674	8
ENSSSCG00000004675	0
ENSSSCG00000004676	0
ENSSSCG00000004677	0
ENSSSCG00000004678	0
ENSSSCG00000019275	0
ENSSSCG00000004679	12
ENSSSCG00000004680	0
ENSSSCG00000004681	0
ENSSSCG00000004682	1496
ENSSSCG00000004683	0
ENSSSCG00000004684	444
ENSSSCG00000004685	238
ENSSSCG00000004686	87
ENSSSCG00000004687	1532
ENSSSCG00000004688	0
ENSSSCG00000004689	311
ENSSSCG00000004690	201
ENSSSCG00000004691	281
ENSSSCG00000004692	91
ENSSSCG00000004693	134
ENSSSCG00000004694	0
ENSSSCG00000004695	83
ENSSSCG00000004696	596
ENSSSCG00000004697	194
ENSSSCG00000004698	92
ENSSSCG00000018734	496
ENSSSCG00000004699	18
ENSSSCG00000004700	12411
ENSSSCG00000018230	0
ENSSSCG00000004701	82
ENSSSCG00000019464	0
ENSSSCG00000004702	0
ENSSSCG00000004703	0
ENSSSCG00000004704	76
ENSSSCG00000004705	2904
ENSSSCG00000020607	0
ENSSSCG00000004706	388
ENSSSCG00000020229	0
ENSSSCG00000004707	312
ENSSSCG00000004708	213
ENSSSCG00000004709	255
ENSSSCG00000004710	67
ENSSSCG00000004711	51
ENSSSCG00000004712	0
ENSSSCG00000004713	10
ENSSSCG00000004714	4
ENSSSCG00000004715	204
ENSSSCG00000004716	19
ENSSSCG00000004717	471
ENSSSCG00000004718	221
ENSSSCG00000004719	71
ENSSSCG00000004720	128
ENSSSCG00000004721	22
ENSSSCG00000004722	75
ENSSSCG00000004723	42
ENSSSCG00000004724	188
ENSSSCG00000004725	1768
ENSSSCG00000004726	323
ENSSSCG00000004727	470
ENSSSCG00000004728	3
ENSSSCG00000004729	8
ENSSSCG00000004730	586
ENSSSCG00000004731	520
ENSSSCG00000004732	0
ENSSSCG00000004733	0
ENSSSCG00000004734	0
ENSSSCG00000004735	446
ENSSSCG00000004736	5
ENSSSCG00000004737	10
ENSSSCG00000004738	148
ENSSSCG00000004739	635
ENSSSCG00000004740	82
ENSSSCG00000004741	4
ENSSSCG00000004742	117
ENSSSCG00000018507	0
ENSSSCG00000004743	0
ENSSSCG00000004744	381
ENSSSCG00000004745	255
ENSSSCG00000004746	2
ENSSSCG00000004747	556
ENSSSCG00000019929	0
ENSSSCG00000019236	0
ENSSSCG00000004748	112
ENSSSCG00000004749	378
ENSSSCG00000004750	75
ENSSSCG00000004751	1808
ENSSSCG00000004752	14
ENSSSCG00000004753	405
ENSSSCG00000020005	0
ENSSSCG00000004754	395
ENSSSCG00000004755	15
ENSSSCG00000019390	0
ENSSSCG00000004756	13
ENSSSCG00000004757	372
ENSSSCG00000004758	0
ENSSSCG00000004759	0
ENSSSCG00000004760	0
ENSSSCG00000004761	34
ENSSSCG00000004762	34
ENSSSCG00000004763	7
ENSSSCG00000004764	70
ENSSSCG00000004765	60
ENSSSCG00000004766	47
ENSSSCG00000004767	40
ENSSSCG00000004768	42
ENSSSCG00000004769	57
ENSSSCG00000004770	2
ENSSSCG00000019979	0
ENSSSCG00000004771	235
ENSSSCG00000004772	311
ENSSSCG00000004773	0
ENSSSCG00000004774	68
ENSSSCG00000004775	77
ENSSSCG00000004776	13
ENSSSCG00000004777	123
ENSSSCG00000004778	8
ENSSSCG00000004779	0
ENSSSCG00000004780	124
ENSSSCG00000004781	0
ENSSSCG00000004782	412
ENSSSCG00000004783	0
ENSSSCG00000004784	102
ENSSSCG00000004785	892
ENSSSCG00000004786	255
ENSSSCG00000004787	67
ENSSSCG00000004788	10
ENSSSCG00000018837	0
ENSSSCG00000004789	413994
ENSSSCG00000004791	18
ENSSSCG00000004792	518
ENSSSCG00000004793	519
ENSSSCG00000004794	0
ENSSSCG00000018872	0
ENSSSCG00000019801	0
ENSSSCG00000004795	79
ENSSSCG00000004796	0
ENSSSCG00000018908	0
ENSSSCG00000004797	0
ENSSSCG00000019291	0
ENSSSCG00000018160	0
ENSSSCG00000019005	0
ENSSSCG00000004798	28
ENSSSCG00000004799	44
ENSSSCG00000004800	1085
ENSSSCG00000004801	720
