Geneid	SRR14612095_fibroblast_female
ENSSSCG00000019582	0
ENSSSCG00000019812	0
ENSSSCG00000018969	0
ENSSSCG00000004346	0
ENSSSCG00000004347	333
ENSSSCG00000004348	124
ENSSSCG00000004349	205
ENSSSCG00000004350	115
ENSSSCG00000004351	93
ENSSSCG00000004352	110
ENSSSCG00000004353	238
ENSSSCG00000004354	0
ENSSSCG00000004355	93
ENSSSCG00000004356	0
ENSSSCG00000004357	0
ENSSSCG00000004358	611
ENSSSCG00000019986	0
ENSSSCG00000004359	663
ENSSSCG00000004360	364
ENSSSCG00000004361	3
ENSSSCG00000004362	0
ENSSSCG00000004363	603
ENSSSCG00000004364	444
ENSSSCG00000004365	0
ENSSSCG00000004366	30
ENSSSCG00000004367	2
ENSSSCG00000004368	1086
ENSSSCG00000004369	3
ENSSSCG00000004370	118
ENSSSCG00000004371	268
ENSSSCG00000018392	0
ENSSSCG00000004372	95
ENSSSCG00000004373	139
ENSSSCG00000004374	198
ENSSSCG00000019893	0
ENSSSCG00000004375	216
ENSSSCG00000004376	83
ENSSSCG00000004377	0
ENSSSCG00000018257	0
ENSSSCG00000004378	0
ENSSSCG00000004379	294
ENSSSCG00000004380	0
ENSSSCG00000004381	0
ENSSSCG00000004382	2807
ENSSSCG00000004383	807
ENSSSCG00000004384	0
ENSSSCG00000004385	1363
ENSSSCG00000004386	54
ENSSSCG00000004387	878
ENSSSCG00000004388	34
ENSSSCG00000004389	8
ENSSSCG00000004390	270
ENSSSCG00000004391	26
ENSSSCG00000004392	879
ENSSSCG00000004393	321
ENSSSCG00000004394	89
ENSSSCG00000004395	80
ENSSSCG00000004396	302
ENSSSCG00000004397	35
ENSSSCG00000004398	0
ENSSSCG00000004399	0
ENSSSCG00000004400	12
ENSSSCG00000004401	56
ENSSSCG00000004402	0
ENSSSCG00000004403	327
ENSSSCG00000004404	9
ENSSSCG00000004405	163
ENSSSCG00000004406	0
ENSSSCG00000004407	0
ENSSSCG00000004408	122
ENSSSCG00000004409	304
ENSSSCG00000004410	0
ENSSSCG00000004411	149
ENSSSCG00000004412	1184
ENSSSCG00000004413	0
ENSSSCG00000004414	13190
ENSSSCG00000004415	73
ENSSSCG00000004416	0
ENSSSCG00000004417	4
ENSSSCG00000004418	64
ENSSSCG00000004419	48
ENSSSCG00000004420	472
ENSSSCG00000004421	1899
ENSSSCG00000019932	0
ENSSSCG00000004422	0
ENSSSCG00000004423	21
ENSSSCG00000004424	0
ENSSSCG00000004425	14619
ENSSSCG00000004426	0
ENSSSCG00000004427	4
ENSSSCG00000004428	1228
ENSSSCG00000004429	159
ENSSSCG00000004430	5
ENSSSCG00000004431	1600
ENSSSCG00000004432	1523
ENSSSCG00000004433	0
ENSSSCG00000004434	60
ENSSSCG00000004435	149
ENSSSCG00000004436	0
ENSSSCG00000004437	49
ENSSSCG00000004438	311
ENSSSCG00000004439	37
ENSSSCG00000004440	255
ENSSSCG00000004441	2977
ENSSSCG00000004442	0
ENSSSCG00000004443	298
ENSSSCG00000004444	34
ENSSSCG00000004445	0
ENSSSCG00000004446	598
ENSSSCG00000004447	0
ENSSSCG00000004448	0
ENSSSCG00000004449	0
ENSSSCG00000004450	0
ENSSSCG00000004451	0
ENSSSCG00000004452	184
ENSSSCG00000004453	0
ENSSSCG00000004454	1234
ENSSSCG00000004455	75
ENSSSCG00000004456	819
ENSSSCG00000004457	571
ENSSSCG00000004458	1509
ENSSSCG00000004459	56
ENSSSCG00000004460	1020
ENSSSCG00000004461	337
ENSSSCG00000020262	0
ENSSSCG00000004462	59
ENSSSCG00000020103	0
ENSSSCG00000004463	1
ENSSSCG00000004464	299
ENSSSCG00000004465	27
ENSSSCG00000004466	165
ENSSSCG00000004467	17
ENSSSCG00000004468	4
ENSSSCG00000004469	0
ENSSSCG00000019998	0
ENSSSCG00000004470	461
ENSSSCG00000004471	21
ENSSSCG00000004472	73
ENSSSCG00000004473	392
ENSSSCG00000004474	0
ENSSSCG00000004475	339
ENSSSCG00000004476	0
ENSSSCG00000004477	0
ENSSSCG00000004478	675
ENSSSCG00000019589	0
ENSSSCG00000020280	2
ENSSSCG00000020416	1
ENSSSCG00000004479	225
ENSSSCG00000004480	273
ENSSSCG00000004481	1673
ENSSSCG00000004482	9438
ENSSSCG00000004483	261
ENSSSCG00000004484	17343
ENSSSCG00000019305	6
ENSSSCG00000019933	0
ENSSSCG00000004485	4947
ENSSSCG00000004486	159
ENSSSCG00000004487	179
ENSSSCG00000004488	15
ENSSSCG00000004489	150743
ENSSSCG00000004490	398
ENSSSCG00000018364	0
ENSSSCG00000004491	0
ENSSSCG00000004492	0
ENSSSCG00000004493	0
ENSSSCG00000004494	69
ENSSSCG00000004495	0
ENSSSCG00000004496	26
ENSSSCG00000004497	2
ENSSSCG00000004498	72
ENSSSCG00000004499	5194
ENSSSCG00000004500	203
ENSSSCG00000004501	0
ENSSSCG00000004502	0
ENSSSCG00000004503	0
ENSSSCG00000004504	11
ENSSSCG00000004505	414
ENSSSCG00000004506	283
ENSSSCG00000004507	481
ENSSSCG00000004508	401
ENSSSCG00000004509	471
ENSSSCG00000004510	269
ENSSSCG00000020045	0
ENSSSCG00000020491	2
ENSSSCG00000004511	0
ENSSSCG00000004512	0
ENSSSCG00000004513	0
ENSSSCG00000004514	19
ENSSSCG00000004515	10
ENSSSCG00000004516	308
ENSSSCG00000004517	319
ENSSSCG00000004518	75
ENSSSCG00000004519	1
ENSSSCG00000004520	2
ENSSSCG00000004521	0
ENSSSCG00000004522	946
ENSSSCG00000004523	110
ENSSSCG00000019329	0
ENSSSCG00000004524	1731
ENSSSCG00000004525	856
ENSSSCG00000004526	0
ENSSSCG00000004527	18
ENSSSCG00000004528	1621
ENSSSCG00000004529	50
ENSSSCG00000004530	30
ENSSSCG00000004531	159
ENSSSCG00000004532	0
ENSSSCG00000004533	22
ENSSSCG00000004534	3
ENSSSCG00000019922	0
ENSSSCG00000004535	936
ENSSSCG00000020381	0
ENSSSCG00000004536	0
ENSSSCG00000004537	1639
ENSSSCG00000004538	328
ENSSSCG00000004539	0
ENSSSCG00000004540	0
ENSSSCG00000004541	325
ENSSSCG00000004542	3854
ENSSSCG00000004543	153
ENSSSCG00000004544	659
ENSSSCG00000004545	0
ENSSSCG00000004546	178
ENSSSCG00000004547	472
ENSSSCG00000004548	0
ENSSSCG00000004549	24
ENSSSCG00000004550	650
ENSSSCG00000004551	902
ENSSSCG00000004552	212
ENSSSCG00000004553	100
ENSSSCG00000004554	70
ENSSSCG00000004555	16
ENSSSCG00000004556	937
ENSSSCG00000004557	1879
ENSSSCG00000004558	231
ENSSSCG00000004559	82
ENSSSCG00000004560	3
ENSSSCG00000004561	1804
ENSSSCG00000018577	0
ENSSSCG00000020403	0
ENSSSCG00000004562	4
ENSSSCG00000004563	272
ENSSSCG00000004564	75
ENSSSCG00000004565	37
ENSSSCG00000004566	357
ENSSSCG00000004567	35
ENSSSCG00000004568	1191
ENSSSCG00000004569	184
ENSSSCG00000004570	8223
ENSSSCG00000004571	1007
ENSSSCG00000018544	0
ENSSSCG00000019618	0
ENSSSCG00000019471	0
ENSSSCG00000004572	17
ENSSSCG00000004573	0
ENSSSCG00000004574	2971
ENSSSCG00000004575	6641
ENSSSCG00000004576	68
ENSSSCG00000004577	260
ENSSSCG00000004578	13457
ENSSSCG00000004579	0
ENSSSCG00000004580	0
ENSSSCG00000004581	0
ENSSSCG00000020189	0
ENSSSCG00000004582	247
ENSSSCG00000004583	169
ENSSSCG00000004584	0
ENSSSCG00000004585	196
ENSSSCG00000004586	74
ENSSSCG00000004587	1045
ENSSSCG00000018846	0
ENSSSCG00000004588	227
ENSSSCG00000004589	585
ENSSSCG00000004590	210
ENSSSCG00000004591	114
ENSSSCG00000004592	321
ENSSSCG00000004593	31
ENSSSCG00000004594	0
ENSSSCG00000004595	2129
ENSSSCG00000004596	25
ENSSSCG00000019377	0
ENSSSCG00000004597	0
ENSSSCG00000004598	19
ENSSSCG00000004599	547
ENSSSCG00000004600	1757
ENSSSCG00000018304	0
ENSSSCG00000004601	16
ENSSSCG00000019826	0
ENSSSCG00000004602	25
ENSSSCG00000018434	0
ENSSSCG00000020082	0
ENSSSCG00000004603	656
ENSSSCG00000004604	112
ENSSSCG00000004605	0
ENSSSCG00000004606	4
ENSSSCG00000004607	281
ENSSSCG00000004608	4
ENSSSCG00000004609	273
ENSSSCG00000004610	2521
ENSSSCG00000018806	0
ENSSSCG00000004611	248
ENSSSCG00000004612	121
ENSSSCG00000004613	574
ENSSSCG00000004614	0
ENSSSCG00000004615	0
ENSSSCG00000004616	0
ENSSSCG00000004617	671
ENSSSCG00000004618	1309
ENSSSCG00000004619	1033
ENSSSCG00000004620	1383
ENSSSCG00000004621	0
ENSSSCG00000004622	234
ENSSSCG00000004623	0
ENSSSCG00000004624	1644
ENSSSCG00000004625	262
ENSSSCG00000004626	700
ENSSSCG00000004627	155
ENSSSCG00000004628	34
ENSSSCG00000004629	30
ENSSSCG00000004630	7
ENSSSCG00000004631	405
ENSSSCG00000004632	3
ENSSSCG00000004633	95
ENSSSCG00000004634	428
ENSSSCG00000004635	757
ENSSSCG00000004636	1710
ENSSSCG00000004637	11288
ENSSSCG00000020575	0
ENSSSCG00000004638	13
ENSSSCG00000004639	990
ENSSSCG00000004640	65
ENSSSCG00000004641	0
ENSSSCG00000004642	0
ENSSSCG00000004643	0
ENSSSCG00000004644	0
ENSSSCG00000004645	99
ENSSSCG00000004646	6
ENSSSCG00000004647	329
ENSSSCG00000004648	34
ENSSSCG00000004649	365
ENSSSCG00000004650	230
ENSSSCG00000004651	366
ENSSSCG00000004652	619
ENSSSCG00000004653	1130
ENSSSCG00000004654	30
ENSSSCG00000004655	7
ENSSSCG00000004656	308
ENSSSCG00000004657	74
ENSSSCG00000004658	35065
ENSSSCG00000004659	19
ENSSSCG00000004660	0
ENSSSCG00000004661	190
ENSSSCG00000004662	70
ENSSSCG00000004663	184
ENSSSCG00000019772	0
ENSSSCG00000020376	0
ENSSSCG00000004664	0
ENSSSCG00000004665	1628
ENSSSCG00000004666	371
ENSSSCG00000004667	91
ENSSSCG00000004668	105
ENSSSCG00000004669	206
ENSSSCG00000004670	13
ENSSSCG00000018328	0
ENSSSCG00000004671	135
ENSSSCG00000004672	162
ENSSSCG00000004673	0
ENSSSCG00000004674	46
ENSSSCG00000004675	4
ENSSSCG00000004676	0
ENSSSCG00000004677	0
ENSSSCG00000004678	0
ENSSSCG00000019275	0
ENSSSCG00000004679	34
