Geneid	SRR14612100_myofibroblast_female
ENSSSCG00000004302	2
ENSSSCG00000004303	166
ENSSSCG00000004304	259
ENSSSCG00000004305	19
ENSSSCG00000004306	243
ENSSSCG00000004307	1317
ENSSSCG00000004308	0
ENSSSCG00000004309	17
ENSSSCG00000019769	0
ENSSSCG00000004310	56
ENSSSCG00000004311	91
ENSSSCG00000018235	0
ENSSSCG00000004312	212
ENSSSCG00000004313	49
ENSSSCG00000004314	186
ENSSSCG00000004315	0
ENSSSCG00000004316	0
ENSSSCG00000004317	418
ENSSSCG00000004318	3
ENSSSCG00000004319	0
ENSSSCG00000004320	380
ENSSSCG00000018811	0
ENSSSCG00000004321	0
ENSSSCG00000004322	1
ENSSSCG00000004323	77
ENSSSCG00000004324	102
ENSSSCG00000004325	41
ENSSSCG00000004326	366
ENSSSCG00000004327	178
ENSSSCG00000004328	587
ENSSSCG00000004329	57
ENSSSCG00000004330	0
ENSSSCG00000004331	294
ENSSSCG00000004332	68
ENSSSCG00000004333	8
ENSSSCG00000004334	737
ENSSSCG00000004335	55
ENSSSCG00000019674	0
ENSSSCG00000004336	34
ENSSSCG00000018695	0
ENSSSCG00000020518	0
ENSSSCG00000004337	347
ENSSSCG00000004338	0
ENSSSCG00000004339	642
ENSSSCG00000004340	0
ENSSSCG00000004341	15
ENSSSCG00000018143	0
ENSSSCG00000004342	59
ENSSSCG00000004343	2
ENSSSCG00000004344	24
ENSSSCG00000004345	33
ENSSSCG00000018476	0
ENSSSCG00000019582	0
ENSSSCG00000019812	0
ENSSSCG00000018969	0
ENSSSCG00000004346	0
ENSSSCG00000004347	312
ENSSSCG00000004348	72
ENSSSCG00000004349	126
ENSSSCG00000004350	93
ENSSSCG00000004351	106
ENSSSCG00000004352	90
ENSSSCG00000004353	259
ENSSSCG00000004354	0
ENSSSCG00000004355	84
ENSSSCG00000004356	0
ENSSSCG00000004357	0
ENSSSCG00000004358	719
ENSSSCG00000019986	0
ENSSSCG00000004359	557
ENSSSCG00000004360	288
ENSSSCG00000004361	8
ENSSSCG00000004362	0
ENSSSCG00000004363	883
ENSSSCG00000004364	668
ENSSSCG00000004365	0
ENSSSCG00000004366	173
ENSSSCG00000004367	1
ENSSSCG00000004368	1233
ENSSSCG00000004369	0
ENSSSCG00000004370	115
ENSSSCG00000004371	302
ENSSSCG00000018392	0
ENSSSCG00000004372	102
ENSSSCG00000004373	94
ENSSSCG00000004374	152
ENSSSCG00000019893	0
ENSSSCG00000004375	166
ENSSSCG00000004376	38
ENSSSCG00000004377	0
ENSSSCG00000018257	0
ENSSSCG00000004378	0
ENSSSCG00000004379	232
ENSSSCG00000004380	0
ENSSSCG00000004381	0
ENSSSCG00000004382	1869
ENSSSCG00000004383	717
ENSSSCG00000004384	3
ENSSSCG00000004385	1318
ENSSSCG00000004386	44
ENSSSCG00000004387	819
ENSSSCG00000004388	27
ENSSSCG00000004389	2
ENSSSCG00000004390	94
ENSSSCG00000004391	13
ENSSSCG00000004392	696
ENSSSCG00000004393	286
ENSSSCG00000004394	103
ENSSSCG00000004395	32
ENSSSCG00000004396	210
ENSSSCG00000004397	64
ENSSSCG00000004398	0
ENSSSCG00000004399	0
ENSSSCG00000004400	16
ENSSSCG00000004401	72
ENSSSCG00000004402	0
ENSSSCG00000004403	293
ENSSSCG00000004404	8
ENSSSCG00000004405	166
ENSSSCG00000004406	0
ENSSSCG00000004407	0
ENSSSCG00000004408	49
ENSSSCG00000004409	451
ENSSSCG00000004410	1
ENSSSCG00000004411	125
ENSSSCG00000004412	1845
ENSSSCG00000004413	1
ENSSSCG00000004414	8386
ENSSSCG00000004415	52
ENSSSCG00000004416	0
ENSSSCG00000004417	62
ENSSSCG00000004418	49
ENSSSCG00000004419	21
ENSSSCG00000004420	417
ENSSSCG00000004421	842
ENSSSCG00000019932	0
ENSSSCG00000004422	0
ENSSSCG00000004423	21
ENSSSCG00000004424	0
ENSSSCG00000004425	11715
ENSSSCG00000004426	0
ENSSSCG00000004427	0
ENSSSCG00000004428	1022
ENSSSCG00000004429	162
ENSSSCG00000004430	1
ENSSSCG00000004431	903
ENSSSCG00000004432	999
ENSSSCG00000004433	3
ENSSSCG00000004434	7
ENSSSCG00000004435	101
ENSSSCG00000004436	0
ENSSSCG00000004437	18
ENSSSCG00000004438	174
ENSSSCG00000004439	35
ENSSSCG00000004440	151
ENSSSCG00000004441	2249
ENSSSCG00000004442	0
ENSSSCG00000004443	70
ENSSSCG00000004444	0
ENSSSCG00000004445	0
ENSSSCG00000004446	495
ENSSSCG00000004447	0
ENSSSCG00000004448	0
ENSSSCG00000004449	0
ENSSSCG00000004450	0
ENSSSCG00000004451	0
ENSSSCG00000004452	406
ENSSSCG00000004453	0
ENSSSCG00000004454	1132
ENSSSCG00000004455	58
ENSSSCG00000004456	930
ENSSSCG00000004457	608
ENSSSCG00000004458	627
ENSSSCG00000004459	36
ENSSSCG00000004460	1014
ENSSSCG00000004461	283
ENSSSCG00000020262	0
ENSSSCG00000004462	41
ENSSSCG00000020103	0
ENSSSCG00000004463	0
ENSSSCG00000004464	237
ENSSSCG00000004465	29
ENSSSCG00000004466	86
ENSSSCG00000004467	55
ENSSSCG00000004468	4
ENSSSCG00000004469	0
ENSSSCG00000019998	0
ENSSSCG00000004470	318
ENSSSCG00000004471	9
ENSSSCG00000004472	48
ENSSSCG00000004473	314
ENSSSCG00000004474	0
ENSSSCG00000004475	965
ENSSSCG00000004476	0
ENSSSCG00000004477	0
ENSSSCG00000004478	580
ENSSSCG00000019589	1
ENSSSCG00000020280	1
ENSSSCG00000020416	1
ENSSSCG00000004479	292
ENSSSCG00000004480	250
ENSSSCG00000004481	1290
ENSSSCG00000004482	19245
ENSSSCG00000004483	203
ENSSSCG00000004484	36889
ENSSSCG00000019305	0
ENSSSCG00000019933	0
ENSSSCG00000004485	4063
ENSSSCG00000004486	89
ENSSSCG00000004487	174
ENSSSCG00000004488	9
ENSSSCG00000004489	104973
ENSSSCG00000004490	321
ENSSSCG00000018364	0
ENSSSCG00000004491	0
ENSSSCG00000004492	0
ENSSSCG00000004493	0
ENSSSCG00000004494	79
ENSSSCG00000004495	0
ENSSSCG00000004496	33
ENSSSCG00000004497	0
ENSSSCG00000004498	70
ENSSSCG00000004499	4038
ENSSSCG00000004500	218
ENSSSCG00000004501	0
ENSSSCG00000004502	0
ENSSSCG00000004503	0
ENSSSCG00000004504	5
ENSSSCG00000004505	405
ENSSSCG00000004506	621
ENSSSCG00000004507	423
ENSSSCG00000004508	409
ENSSSCG00000004509	6035
ENSSSCG00000004510	138
ENSSSCG00000020045	1
ENSSSCG00000020491	1
ENSSSCG00000004511	2
ENSSSCG00000004512	0
ENSSSCG00000004513	0
ENSSSCG00000004514	9
ENSSSCG00000004515	7
ENSSSCG00000004516	223
ENSSSCG00000004517	272
ENSSSCG00000004518	39
ENSSSCG00000004519	4
ENSSSCG00000004520	27
ENSSSCG00000004521	0
ENSSSCG00000004522	904
ENSSSCG00000004523	94
ENSSSCG00000019329	0
ENSSSCG00000004524	1484
ENSSSCG00000004525	601
ENSSSCG00000004526	0
ENSSSCG00000004527	17
ENSSSCG00000004528	1625
ENSSSCG00000004529	57
ENSSSCG00000004530	15
ENSSSCG00000004531	146
ENSSSCG00000004532	0
ENSSSCG00000004533	12
ENSSSCG00000004534	1
ENSSSCG00000019922	0
ENSSSCG00000004535	1034
ENSSSCG00000020381	0
ENSSSCG00000004536	0
ENSSSCG00000004537	1338
ENSSSCG00000004538	286
ENSSSCG00000004539	0
ENSSSCG00000004540	1
ENSSSCG00000004541	252
ENSSSCG00000004542	3560
ENSSSCG00000004543	130
ENSSSCG00000004544	615
ENSSSCG00000004545	3
ENSSSCG00000004546	112
ENSSSCG00000004547	495
ENSSSCG00000004548	1
ENSSSCG00000004549	33
ENSSSCG00000004550	541
ENSSSCG00000004551	928
ENSSSCG00000004552	205
ENSSSCG00000004553	69
ENSSSCG00000004554	43
ENSSSCG00000004555	5
ENSSSCG00000004556	864
ENSSSCG00000004557	1378
ENSSSCG00000004558	153
ENSSSCG00000004559	64
ENSSSCG00000004560	1
ENSSSCG00000004561	1809
ENSSSCG00000018577	0
ENSSSCG00000020403	0
ENSSSCG00000004562	2
ENSSSCG00000004563	137
ENSSSCG00000004564	61
ENSSSCG00000004565	8
ENSSSCG00000004566	256
ENSSSCG00000004567	30
ENSSSCG00000004568	659
ENSSSCG00000004569	120
ENSSSCG00000004570	33158
ENSSSCG00000004571	653
ENSSSCG00000018544	0
ENSSSCG00000019618	0
ENSSSCG00000019471	0
ENSSSCG00000004572	3
ENSSSCG00000004573	0
ENSSSCG00000004574	1937
ENSSSCG00000004575	5593
ENSSSCG00000004576	88
ENSSSCG00000004577	195
ENSSSCG00000004578	12318
ENSSSCG00000004579	2
ENSSSCG00000004580	0
ENSSSCG00000004581	0
ENSSSCG00000020189	0
ENSSSCG00000004582	211
ENSSSCG00000004583	171
ENSSSCG00000004584	0
ENSSSCG00000004585	167
ENSSSCG00000004586	70
ENSSSCG00000004587	1788
ENSSSCG00000018846	1
ENSSSCG00000004588	105
ENSSSCG00000004589	533
ENSSSCG00000004590	130
ENSSSCG00000004591	68
ENSSSCG00000004592	214
ENSSSCG00000004593	19
ENSSSCG00000004594	0
ENSSSCG00000004595	1272
ENSSSCG00000004596	15
ENSSSCG00000019377	0
ENSSSCG00000004597	0
ENSSSCG00000004598	39
ENSSSCG00000004599	230
ENSSSCG00000004600	1518
ENSSSCG00000018304	0
ENSSSCG00000004601	8
ENSSSCG00000019826	0
ENSSSCG00000004602	12
ENSSSCG00000018434	0
ENSSSCG00000020082	0
ENSSSCG00000004603	639
ENSSSCG00000004604	86
ENSSSCG00000004605	0
ENSSSCG00000004606	11
ENSSSCG00000004607	281
ENSSSCG00000004608	3
ENSSSCG00000004609	358
ENSSSCG00000004610	1993
ENSSSCG00000018806	0
ENSSSCG00000004611	187
ENSSSCG00000004612	140
ENSSSCG00000004613	432
ENSSSCG00000004614	0
ENSSSCG00000004615	0
ENSSSCG00000004616	1
ENSSSCG00000004617	1607
ENSSSCG00000004618	1331
ENSSSCG00000004619	1269
ENSSSCG00000004620	1597
ENSSSCG00000004621	0
ENSSSCG00000004622	308
ENSSSCG00000004623	0
ENSSSCG00000004624	2076
ENSSSCG00000004625	171
ENSSSCG00000004626	635
ENSSSCG00000004627	127
ENSSSCG00000004628	59
ENSSSCG00000004629	6
ENSSSCG00000004630	0
ENSSSCG00000004631	356
ENSSSCG00000004632	11
ENSSSCG00000004633	31
ENSSSCG00000004634	367
ENSSSCG00000004635	531
ENSSSCG00000004636	1201
ENSSSCG00000004637	9430
ENSSSCG00000020575	0
ENSSSCG00000004638	12
ENSSSCG00000004639	932
ENSSSCG00000004640	74
ENSSSCG00000004641	0
ENSSSCG00000004642	0
ENSSSCG00000004643	0
ENSSSCG00000004644	0
ENSSSCG00000004645	66
ENSSSCG00000004646	2
ENSSSCG00000004647	279
ENSSSCG00000004648	44
ENSSSCG00000004649	164
ENSSSCG00000004650	68
ENSSSCG00000004651	159
ENSSSCG00000004652	440
ENSSSCG00000004653	1321
ENSSSCG00000004654	46
ENSSSCG00000004655	0
ENSSSCG00000004656	216
ENSSSCG00000004657	69
ENSSSCG00000004658	79460
ENSSSCG00000004659	6
ENSSSCG00000004660	0
ENSSSCG00000004661	221
ENSSSCG00000004662	85
ENSSSCG00000004663	49
ENSSSCG00000019772	0
ENSSSCG00000020376	0
ENSSSCG00000004664	0
ENSSSCG00000004665	1569
ENSSSCG00000004666	343
ENSSSCG00000004667	66
ENSSSCG00000004668	124
ENSSSCG00000004669	136
ENSSSCG00000004670	0
ENSSSCG00000018328	0
ENSSSCG00000004671	99
ENSSSCG00000004672	113
ENSSSCG00000004673	0
ENSSSCG00000004674	20
ENSSSCG00000004675	0
ENSSSCG00000004676	0
ENSSSCG00000004677	0
ENSSSCG00000004678	0
ENSSSCG00000019275	0
ENSSSCG00000004679	11
ENSSSCG00000004680	0
ENSSSCG00000004681	0
ENSSSCG00000004682	1229
ENSSSCG00000004683	0
ENSSSCG00000004684	355
ENSSSCG00000004685	242
ENSSSCG00000004686	101
ENSSSCG00000004687	1229
ENSSSCG00000004688	0
ENSSSCG00000004689	309
ENSSSCG00000004690	211
ENSSSCG00000004691	279
ENSSSCG00000004692	98
ENSSSCG00000004693	146
ENSSSCG00000004694	2
ENSSSCG00000004695	47
ENSSSCG00000004696	534
ENSSSCG00000004697	282
ENSSSCG00000004698	86
ENSSSCG00000018734	685
ENSSSCG00000004699	5
ENSSSCG00000004700	12849
ENSSSCG00000018230	0
ENSSSCG00000004701	73
ENSSSCG00000019464	0
ENSSSCG00000004702	0
ENSSSCG00000004703	0
ENSSSCG00000004704	73
ENSSSCG00000004705	3893
ENSSSCG00000020607	0
ENSSSCG00000004706	529
ENSSSCG00000020229	0
ENSSSCG00000004707	297
ENSSSCG00000004708	198
ENSSSCG00000004709	226
ENSSSCG00000004710	62
ENSSSCG00000004711	48
ENSSSCG00000004712	0
ENSSSCG00000004713	9
ENSSSCG00000004714	1
ENSSSCG00000004715	152
ENSSSCG00000004716	13
ENSSSCG00000004717	457
ENSSSCG00000004718	273
ENSSSCG00000004719	78
ENSSSCG00000004720	86
ENSSSCG00000004721	44
ENSSSCG00000004722	58
ENSSSCG00000004723	29
ENSSSCG00000004724	147
ENSSSCG00000004725	1666
ENSSSCG00000004726	353
ENSSSCG00000004727	499
ENSSSCG00000004728	0
ENSSSCG00000004729	10
ENSSSCG00000004730	545
ENSSSCG00000004731	468
ENSSSCG00000004732	0
ENSSSCG00000004733	0
ENSSSCG00000004734	0
ENSSSCG00000004735	352
ENSSSCG00000004736	2
ENSSSCG00000004737	11
ENSSSCG00000004738	187
ENSSSCG00000004739	632
ENSSSCG00000004740	100
ENSSSCG00000004741	8
ENSSSCG00000004742	92
ENSSSCG00000018507	0
ENSSSCG00000004743	6
ENSSSCG00000004744	365
ENSSSCG00000004745	237
ENSSSCG00000004746	4
ENSSSCG00000004747	521
ENSSSCG00000019929	0
ENSSSCG00000019236	0
ENSSSCG00000004748	117
ENSSSCG00000004749	171
ENSSSCG00000004750	51
ENSSSCG00000004751	1779
ENSSSCG00000004752	5
ENSSSCG00000004753	400
ENSSSCG00000020005	0
ENSSSCG00000004754	332
ENSSSCG00000004755	1
ENSSSCG00000019390	0
ENSSSCG00000004756	31
ENSSSCG00000004757	351
ENSSSCG00000004758	0
ENSSSCG00000004759	0
ENSSSCG00000004760	0
ENSSSCG00000004761	30
ENSSSCG00000004762	31
ENSSSCG00000004763	5
ENSSSCG00000004764	48
ENSSSCG00000004765	60
ENSSSCG00000004766	29
ENSSSCG00000004767	31
ENSSSCG00000004768	21
ENSSSCG00000004769	16
ENSSSCG00000004770	6
ENSSSCG00000019979	0
ENSSSCG00000004771	226
ENSSSCG00000004772	313
ENSSSCG00000004773	0
ENSSSCG00000004774	74
ENSSSCG00000004775	42
ENSSSCG00000004776	12
ENSSSCG00000004777	95
ENSSSCG00000004778	7
ENSSSCG00000004779	0
ENSSSCG00000004780	95
ENSSSCG00000004781	1
ENSSSCG00000004782	117
ENSSSCG00000004783	0
ENSSSCG00000004784	118
ENSSSCG00000004785	750
ENSSSCG00000004786	297
ENSSSCG00000004787	96
ENSSSCG00000004788	6
ENSSSCG00000018837	0
ENSSSCG00000004789	428812
ENSSSCG00000004791	2
ENSSSCG00000004792	371
ENSSSCG00000004793	453
ENSSSCG00000004794	0
ENSSSCG00000018872	0
ENSSSCG00000019801	0
ENSSSCG00000004795	58
ENSSSCG00000004796	0
ENSSSCG00000018908	0
ENSSSCG00000004797	0
ENSSSCG00000019291	0
ENSSSCG00000018160	0
ENSSSCG00000019005	0
ENSSSCG00000004798	22
ENSSSCG00000004799	42
ENSSSCG00000004800	921
ENSSSCG00000004801	559
ENSSSCG00000004802	432
ENSSSCG00000004803	6771
ENSSSCG00000004804	6199
ENSSSCG00000004805	0
ENSSSCG00000004806	305
ENSSSCG00000004807	2
ENSSSCG00000004808	6
ENSSSCG00000004809	24
ENSSSCG00000004810	0
ENSSSCG00000004811	0
ENSSSCG00000004812	2884
ENSSSCG00000004813	53
ENSSSCG00000004814	809
ENSSSCG00000004815	1270
ENSSSCG00000004816	18
ENSSSCG00000018345	0
ENSSSCG00000004817	48
ENSSSCG00000004818	14
ENSSSCG00000019757	0
ENSSSCG00000004819	0
ENSSSCG00000004820	70
ENSSSCG00000004821	94
ENSSSCG00000004822	586
ENSSSCG00000019106	0
ENSSSCG00000018227	0
ENSSSCG00000004823	646
ENSSSCG00000004824	419
ENSSSCG00000004825	2828
ENSSSCG00000004826	836
ENSSSCG00000018906	0
ENSSSCG00000019280	0
ENSSSCG00000018975	0
ENSSSCG00000004827	0
ENSSSCG00000004828	0
ENSSSCG00000004829	47
ENSSSCG00000004830	2946
ENSSSCG00000004831	0
ENSSSCG00000004832	1104
ENSSSCG00000019388	1
ENSSSCG00000019409	0
ENSSSCG00000019878	0
ENSSSCG00000019155	0
ENSSSCG00000020399	0
ENSSSCG00000018361	0
ENSSSCG00000019818	2
ENSSSCG00000018174	0
ENSSSCG00000018351	0
ENSSSCG00000020442	0
ENSSSCG00000020119	0
ENSSSCG00000018141	0
ENSSSCG00000004833	551
ENSSSCG00000019192	0
ENSSSCG00000004834	322
ENSSSCG00000004835	57
ENSSSCG00000004836	0
ENSSSCG00000004838	48
ENSSSCG00000004839	0
ENSSSCG00000019568	0
ENSSSCG00000004840	5
ENSSSCG00000004841	64
ENSSSCG00000004842	407
ENSSSCG00000004843	0
ENSSSCG00000019509	0
ENSSSCG00000004844	689
ENSSSCG00000004845	308
ENSSSCG00000004846	127
ENSSSCG00000004847	198
ENSSSCG00000004848	74
ENSSSCG00000004849	0
ENSSSCG00000004850	0
ENSSSCG00000004851	0
ENSSSCG00000004852	72
ENSSSCG00000004853	366
ENSSSCG00000004854	2605
ENSSSCG00000004855	226
ENSSSCG00000004856	111
ENSSSCG00000004857	78
ENSSSCG00000004858	259
ENSSSCG00000004859	230
ENSSSCG00000019804	0
ENSSSCG00000004860	42
ENSSSCG00000004861	493
ENSSSCG00000004862	653
ENSSSCG00000004863	80
ENSSSCG00000004864	34
ENSSSCG00000018662	0
