Geneid	SRR14612087_fibroblast_male
ENSSSCG00000004300	65
ENSSSCG00000004301	3
ENSSSCG00000004302	9
ENSSSCG00000004303	230
ENSSSCG00000004304	259
ENSSSCG00000004305	31
ENSSSCG00000004306	292
ENSSSCG00000004307	1236
ENSSSCG00000004308	1
ENSSSCG00000004309	17
ENSSSCG00000019769	0
ENSSSCG00000004310	38
ENSSSCG00000004311	115
ENSSSCG00000018235	0
ENSSSCG00000004312	476
ENSSSCG00000004313	53
ENSSSCG00000004314	229
ENSSSCG00000004315	0
ENSSSCG00000004316	0
ENSSSCG00000004317	366
ENSSSCG00000004318	0
ENSSSCG00000004319	0
ENSSSCG00000004320	352
ENSSSCG00000018811	0
ENSSSCG00000004321	3
ENSSSCG00000004322	2
ENSSSCG00000004323	95
ENSSSCG00000004324	225
ENSSSCG00000004325	49
ENSSSCG00000004326	646
ENSSSCG00000004327	233
ENSSSCG00000004328	893
ENSSSCG00000004329	82
ENSSSCG00000004330	0
ENSSSCG00000004331	325
ENSSSCG00000004332	105
ENSSSCG00000004333	17
ENSSSCG00000004334	727
ENSSSCG00000004335	23
ENSSSCG00000019674	0
ENSSSCG00000004336	8
ENSSSCG00000018695	0
ENSSSCG00000020518	0
ENSSSCG00000004337	380
ENSSSCG00000004338	0
ENSSSCG00000004339	794
ENSSSCG00000004340	0
ENSSSCG00000004341	32
ENSSSCG00000018143	0
ENSSSCG00000004342	77
ENSSSCG00000004343	3
ENSSSCG00000004344	41
ENSSSCG00000004345	50
ENSSSCG00000018476	0
ENSSSCG00000019582	0
ENSSSCG00000019812	0
ENSSSCG00000018969	0
ENSSSCG00000004346	0
ENSSSCG00000004347	321
ENSSSCG00000004348	104
ENSSSCG00000004349	217
ENSSSCG00000004350	119
ENSSSCG00000004351	137
ENSSSCG00000004352	134
ENSSSCG00000004353	322
ENSSSCG00000004354	0
ENSSSCG00000004355	84
ENSSSCG00000004356	0
ENSSSCG00000004357	0
ENSSSCG00000004358	751
ENSSSCG00000019986	0
ENSSSCG00000004359	672
ENSSSCG00000004360	322
ENSSSCG00000004361	0
ENSSSCG00000004362	0
ENSSSCG00000004363	764
ENSSSCG00000004364	543
ENSSSCG00000004365	0
ENSSSCG00000004366	59
ENSSSCG00000004367	6
ENSSSCG00000004368	1175
ENSSSCG00000004369	0
ENSSSCG00000004370	169
ENSSSCG00000004371	335
ENSSSCG00000018392	0
ENSSSCG00000004372	101
ENSSSCG00000004373	136
ENSSSCG00000004374	182
ENSSSCG00000019893	0
ENSSSCG00000004375	305
ENSSSCG00000004376	86
ENSSSCG00000004377	0
ENSSSCG00000018257	0
ENSSSCG00000004378	0
ENSSSCG00000004379	371
ENSSSCG00000004380	0
ENSSSCG00000004381	0
ENSSSCG00000004382	2905
ENSSSCG00000004383	959
ENSSSCG00000004384	5
ENSSSCG00000004385	1696
ENSSSCG00000004386	51
ENSSSCG00000004387	1203
ENSSSCG00000004388	30
ENSSSCG00000004389	9
ENSSSCG00000004390	447
ENSSSCG00000004391	29
ENSSSCG00000004392	750
ENSSSCG00000004393	483
ENSSSCG00000004394	118
ENSSSCG00000004395	70
ENSSSCG00000004396	277
ENSSSCG00000004397	60
ENSSSCG00000004398	0
ENSSSCG00000004399	0
ENSSSCG00000004400	17
ENSSSCG00000004401	81
ENSSSCG00000004402	0
ENSSSCG00000004403	443
ENSSSCG00000004404	19
ENSSSCG00000004405	210
ENSSSCG00000004406	0
ENSSSCG00000004407	0
ENSSSCG00000004408	139
ENSSSCG00000004409	422
ENSSSCG00000004410	4
ENSSSCG00000004411	156
ENSSSCG00000004412	1626
ENSSSCG00000004413	0
ENSSSCG00000004414	15128
ENSSSCG00000004415	53
ENSSSCG00000004416	0
ENSSSCG00000004417	15
ENSSSCG00000004418	101
ENSSSCG00000004419	60
ENSSSCG00000004420	623
ENSSSCG00000004421	1704
ENSSSCG00000019932	0
ENSSSCG00000004422	0
ENSSSCG00000004423	27
ENSSSCG00000004424	0
ENSSSCG00000004425	17055
ENSSSCG00000004426	0
ENSSSCG00000004427	6
ENSSSCG00000004428	1429
ENSSSCG00000004429	193
ENSSSCG00000004430	8
ENSSSCG00000004431	2083
ENSSSCG00000004432	1868
ENSSSCG00000004433	0
ENSSSCG00000004434	61
ENSSSCG00000004435	182
ENSSSCG00000004436	0
ENSSSCG00000004437	41
ENSSSCG00000004438	321
ENSSSCG00000004439	55
ENSSSCG00000004440	270
ENSSSCG00000004441	4423
ENSSSCG00000004442	0
ENSSSCG00000004443	310
ENSSSCG00000004444	26
ENSSSCG00000004445	7
ENSSSCG00000004446	598
ENSSSCG00000004447	0
ENSSSCG00000004448	0
ENSSSCG00000004449	0
ENSSSCG00000004450	0
ENSSSCG00000004451	0
ENSSSCG00000004452	755
ENSSSCG00000004453	4
ENSSSCG00000004454	1330
ENSSSCG00000004455	84
ENSSSCG00000004456	1081
ENSSSCG00000004457	631
ENSSSCG00000004458	1370
ENSSSCG00000004459	55
ENSSSCG00000004460	1266
ENSSSCG00000004461	346
ENSSSCG00000020262	0
ENSSSCG00000004462	41
ENSSSCG00000020103	0
ENSSSCG00000004463	2
ENSSSCG00000004464	417
ENSSSCG00000004465	34
ENSSSCG00000004466	112
ENSSSCG00000004467	69
ENSSSCG00000004468	1
ENSSSCG00000004469	3
ENSSSCG00000019998	0
ENSSSCG00000004470	557
ENSSSCG00000004471	12
ENSSSCG00000004472	71
ENSSSCG00000004473	346
ENSSSCG00000004474	0
ENSSSCG00000004475	384
